../nucnet-tools-code/libnucnet/print_nuclear_energies nuclides.xml "[a<17]"

  Z    A    Name  Mass (MeV)   B / A (MeV)   S_n (MeV)  S_p (MeV)
 ___  ___   ____  __________   ___________   _________  _________

   0    1      n    939.5650     0.0000       -------    -------
   1    1     h1    938.7830     0.0000       -------    -------
   1    2     h2   1876.1241     1.1120       2.2240    2.2240
   1    3     h3   2809.4321     2.8270       6.2570    -------
   2    3    he3   2809.4131     2.5727       -------    5.4940
   2    4    he4   3728.4011     7.0737       20.5770    19.8140
   2    6    he6   5606.5572     4.8782       -------    -------
   2    7    he7   6546.5252     4.1237       -0.4030    -------
   2    8    he8   7483.5622     3.9243       2.5280    -------
   2    9    he9   8423.2273     3.4771       -0.1000    -------
   2   10   he10   9363.7503     3.0336       -0.9580    -------
   3    6    li6   5603.0512     5.3322       -------    -------
   3    7    li7   6535.3652     5.6063       7.2510    9.9750
   3    8    li8   7472.8982     5.1595       2.0320    12.4100
   3    9    li9   8408.4013     5.0376       4.0620    13.9440
   3   10   li10   9347.9933     4.5311       -0.0270    14.0170
   3   11   li11  10287.1623     4.1552       0.3960    15.3710
   4    7    be7   6536.2272     5.3714       -------    5.6070
   4    8    be8   7456.8942     7.0622       18.8980    17.2540
   4    9    be9   8394.7943     6.4626       1.6650    16.8870
   4   10   be10   9327.5473     6.4975       6.8120    19.6370
   4   11   be11  10266.6113     5.9524       0.5010    20.1650
   4   12   be12  11203.0053     5.7206       3.1710    22.9400
   4   13   be13  12142.6304     5.2759       -0.0600    -------
   4   14   be14  13080.8704     4.9937       1.3250    -------
   5    8     b8   7474.8742     4.7170       -------    0.1360
   5    9     b9   8395.8623     6.2570       18.5770    -0.1850
   5   10    b10   9326.9913     6.4749       8.4360    6.5860
   5   11    b11  10255.1023     6.9275       11.4540    11.2280
   5   12    b12  11191.2973     6.6311       3.3700    14.0970
   5   13    b13  12125.9844     6.4962       4.8780    15.8040
   5   14    b14  13064.5804     6.1014       0.9690    16.8330
   5   15    b15  14001.3744     5.8794       2.7710    18.2790
   6    9     c9   8412.3553     4.3376       -------    1.3020
   6   10    c10   9330.6393     6.0319       21.2810    4.0060
   6   11    c11  10257.0843     6.6763       13.1200    8.6900
   6   12    c12  11177.9283     7.6800       18.7210    15.9570
   6   13    c13  12112.5474     7.4697       4.9460    17.5330
   6   14    c14  13043.9364     7.5201       8.1760    20.8310
   6   15    c15  13982.2834     7.1000       1.2180    21.0800
   6   16    c16  14917.5985     6.9219       4.2500    22.5590
   7   11    n11  10270.7383     5.3639       -------    -1.3160
   7   12    n12  11195.2663     6.1700       15.0370    0.6010
   7   13    n13  12114.7674     7.2388       20.0640    1.9440
   7   14    n14  13043.7794     7.4755       10.5530    7.5510
   7   15    n15  13972.5114     7.6993       10.8330    10.2080
   7   16    n16  14909.5885     7.3736       2.4880    11.4780
   8   13    o13  12132.5374     5.8117       -------    1.5120
   8   14    o14  13048.9234     7.0522       23.1790    4.6270
   8   15    o15  13975.2664     7.4635       13.2220    7.2960
   8   16    o16  14899.1675     7.9761       15.6640    12.1270
   9   14    f14  13072.8804     5.2851       -------    -1.5600
   9   15    f15  13989.2234     6.4809       23.2220    -1.5170
   9   16    f16  14914.5845     6.9636       14.2040    -0.5350
  10   16   ne16  14927.9005     6.0825       -------    0.1060
